Number,Name,Price,Popularity,Category,Description,Image
1,"1. Hjemmelavede Forårsruller",59,2,"forretter","4 stk. hjemmelavede forårsruller med hakket kylling og chilisauce.","./img/spring-rolls.jpg"
2,"1. Mini Vegetar Forårsruller",60,6,"forretter","8 stk. mini vegetar forårsruller og chilisauce.","./img/spring-rolls-veg.jpg"
3,"2. Kai Saté (kyllingespyd)",59,10,"forretter","4 stk. kyllingspyd marineret i karry og kokosmælk. Hjemmelavet peanutsauce.","./img/kai-sate.jpg"
4,"3. Indbagte Rejer",59,6,"forretter","5 stk. indbagte rejer serveres med chilisauce.","./img/baked-shrimp.jpg"
5,"4. Stegtevegs",59,10,"forretter","Stegte løg , gulerødder , champignon , bønner , broccoli, rød peberfrugt i soya og østersauce.","./img/stegteveg.png"
6,"5. Indbagte kylling",59,1,"forretter","5 stk. indbagte kylling serveres med chilisauce.","./img/baked-chicken.jpg"
7,"6. Panang",99,1,"karryretter","panang karry - kokoskælks ,gulerødder , broccoli , rød peberfrugt og grøntsager.","./img/panang.png"
8,"7. Greencurry",99,2,"karryretter","Grøn karry - kokosmælk, bambusskud, rød peberfrugt , bønner og thai basilikum..","./img/panang.png"
9,"8. Massaman",99,4,"karryretter","Massaman karry - kokosmælk, kartofler , gulerødder og løg.","./img/Massaman.jpg"
10,"9. Redcurry",99,3,"karryretter","Rød karry - kokosmælk, bambusskud ,bønner ,rød peberfrugt og thai basilikum","./img/redcurry.jpg"
11,"10. khao-phat",99,4,"wokretter","Stegte ris , æg gulerødder , brocoli , løg og grøntsager , tilberedt i østers- og soya sauce.","./img/khoa-phat.jpg"
12,"11. Pad-Met-Ma-Muang",99,3,"wokretter","Stegte løg, rød peberfrugt ,gulerødder ,champignon og broccoli og grøntsager i soya og østersauce tilsmagt med sød chili pasta og cashewnødder.","./img/Pad-Met-Ma-Muang.jpg"
13,"12. Pad-Ga-Paw",99,5,"wokretter","stegte løg, rød peberfrugt , bønner, brocoli ,champignon med soya , østersauce og basilikum.","./img/Pad-Ga-Paw.jpg"
14,"13. Padthai",99,1,"wokretter","Stegte ris nudler med æg, bønnespirer, hvidløgsblade, Toppet med hakket peanuts, og lime.","./img/khoa-phat.jpg"
15,"14. Pad-si-ew",99,2,"wokretter","Stegte brede ris nudler med æg ,gulerødder, broccoli og grøntsager.","./img/khoa-phat.jpg"
16,"15. Mama-pad",99,3,"wokretter","Stegte æg nudler med løg, gulerødder , broccoli i soya og østersauce.","./img/mama-pad.jpg"
